rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,zeux,Arseny Kapoulkine,Mesh optimization library that makes meshes smaller and faster to render,https://avatars.githubusercontent.com/u/1106629?s=96&v=4,https://github.com/zeux,meshoptimizer,c++,daily,2025-07-04T09:21:24.475061
2,SteveMacenski,Steve Macenski,Slam Toolbox for lifelong mapping and localization in potentially massive maps with ROS,https://avatars.githubusercontent.com/u/14944147?s=96&v=4,https://github.com/SteveMacenski,slam_toolbox,c++,daily,2025-07-04T09:21:24.475793
3,,yhirose,A C++ header-only HTTP/HTTPS server and client library,https://avatars.githubusercontent.com/u/357397?s=96&v=4,https://github.com/yhirose,cpp-httplib,c++,daily,2025-07-04T09:21:24.476466
4,me-no-dev,Me No Dev,Async Web Server for ESP8266 and ESP32,https://avatars.githubusercontent.com/u/12663778?s=96&v=4,https://github.com/me-no-dev,ESPAsyncWebServer,c++,daily,2025-07-04T09:21:24.477138
5,dalathegreat,Daniel Öster,This revolutionary software enables EV battery packs to be easily reused for stationary storage in combination with solar inverters,https://avatars.githubusercontent.com/u/26695010?s=96&v=4,https://github.com/dalathegreat,Battery-Emulator,c++,daily,2025-07-04T09:21:24.477809
6,TixiaoShan,Tixiao Shan,LIO-SAM: Tightly-coupled Lidar Inertial Odometry via Smoothing and Mapping,https://avatars.githubusercontent.com/u/9648219?s=96&v=4,https://github.com/TixiaoShan,LIO-SAM,c++,daily,2025-07-04T09:21:24.478454
7,kdrag0n,Danny Lin,Google SafetyNet attestation workarounds for Magisk,https://avatars.githubusercontent.com/u/7930239?s=96&v=4,https://github.com/kdrag0n,safetynet-fix,c++,daily,2025-07-04T09:21:24.479114
8,78,Xiaoxia,An MCP-based chatbot | 一个基于MCP的聊天机器人,https://avatars.githubusercontent.com/u/4488133?s=96&v=4,https://github.com/78,xiaozhi-esp32,c++,daily,2025-07-04T09:21:24.479770
9,,dentiny,This repository is made as read-only filesystem for remote access.,https://avatars.githubusercontent.com/u/26985418?s=96&v=4,https://github.com/dentiny,duck-read-cache-fs,c++,daily,2025-07-04T09:21:24.480426
10,xuzhao9,Xu Zhao,A modern style for qt applications.,https://avatars.githubusercontent.com/u/502017?s=96&v=4,https://github.com/xuzhao9,Lightly,c++,daily,2025-07-04T09:21:24.481079
11,MaskRay,Fangrui Song,"C/C++/ObjC language server supporting cross references, hierarchies, completion and semantic highlighting",https://avatars.githubusercontent.com/u/416322?s=96&v=4,https://github.com/MaskRay,ccls,c++,daily,2025-07-04T09:21:24.481733
12,robbert-vdh,Robbert van der Helm,"A modern and transparent way to use Windows VST2, VST3 and CLAP plugins on Linux",https://avatars.githubusercontent.com/u/748520?s=96&v=4,https://github.com/robbert-vdh,yabridge,c++,daily,2025-07-04T09:21:24.482370
13,,xiaoyifang,The Next Generation GoldenDict,https://avatars.githubusercontent.com/u/105986?s=96&v=4,https://github.com/xiaoyifang,goldendict-ng,c++,daily,2025-07-04T09:21:24.483058
14,liyunfan1223,Yunfan Li,AzerothCore Playerbots Module,https://avatars.githubusercontent.com/u/56597220?s=96&v=4,https://github.com/liyunfan1223,mod-playerbots,c++,daily,2025-07-04T09:21:24.483714
15,jiegec,Chen,Termux for HarmonyOS Computer. Working in Progress.,https://avatars.githubusercontent.com/u/6127678?s=96&v=4,https://github.com/jiegec,Termony,c++,daily,2025-07-04T09:21:24.484353
16,ckormanyos,Christopher Kormanyos,"Source code for the book Real-Time C++, by Christopher Kormanyos",https://avatars.githubusercontent.com/u/2404721?s=96&v=4,https://github.com/ckormanyos,real-time-cpp,c++,daily,2025-07-04T09:21:24.485011
