rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,Mytherin,Mark,"Panther is an open-source, highly efficient text editor written from scratch in C++.",https://avatars.githubusercontent.com/u/3978469?s=96&v=4,https://github.com/Mytherin,Panther,c++,monthly,2025-07-04T09:21:29.388600
2,zeux,Arseny Kapoulkine,Mesh optimization library that makes meshes smaller and faster to render,https://avatars.githubusercontent.com/u/1106629?s=96&v=4,https://github.com/zeux,meshoptimizer,c++,monthly,2025-07-04T09:21:29.389328
3,JarbasAl,JarbasAI,"A fast, local neural text to speech system",https://avatars.githubusercontent.com/u/33701864?s=96&v=4,https://github.com/JarbasAl,piper,c++,monthly,2025-07-04T09:21:29.390028
4,hrydgard,Henrik Rydgård,"A PSP emulator for Android, Windows, Mac and Linux, written in C++. Want to contribute? Join us on Discord at https://discord.gg/5NJB6dD …",https://avatars.githubusercontent.com/u/130929?s=96&v=4,https://github.com/hrydgard,ppsspp,c++,monthly,2025-07-04T09:21:29.390953
5,doitsujin,Philip Rebohle,"Vulkan-based implementation of D3D8, 9, 10 and 11 for Linux / Wine",https://avatars.githubusercontent.com/u/25567304?s=96&v=4,https://github.com/doitsujin,dxvk,c++,monthly,2025-07-04T09:21:29.391660
6,78,Xiaoxia,An MCP-based chatbot | 一个基于MCP的聊天机器人,https://avatars.githubusercontent.com/u/4488133?s=96&v=4,https://github.com/78,xiaozhi-esp32,c++,monthly,2025-07-04T09:21:29.392463
7,jrouwe,Jorrit Rouwe,A multi core friendly rigid body physics and collision detection library. Written in C++. Suitable for games and VR applications. Used by…,https://avatars.githubusercontent.com/u/1621693?s=96&v=4,https://github.com/jrouwe,JoltPhysics,c++,monthly,2025-07-04T09:21:29.393151
8,syssi,Sebastian Muszynski,ESPHome component to monitor and control a Jikong Battery Management System (JK-BMS) via UART-TTL or BLE,https://avatars.githubusercontent.com/u/2735933?s=96&v=4,https://github.com/syssi,esphome-jk-bms,c++,monthly,2025-07-04T09:21:29.393862
9,jgromes,Jan Gromeš,Universal wireless communication library for embedded devices,https://avatars.githubusercontent.com/u/3407192?s=96&v=4,https://github.com/jgromes,RadioLib,c++,monthly,2025-07-04T09:21:29.394537
10,,koide3,GLIM: versatile and extensible point cloud-based 3D localization and mapping framework,https://avatars.githubusercontent.com/u/31344317?s=96&v=4,https://github.com/koide3,glim,c++,monthly,2025-07-04T09:21:29.395228
11,dalathegreat,Daniel Öster,This revolutionary software enables EV battery packs to be easily reused for stationary storage in combination with solar inverters,https://avatars.githubusercontent.com/u/26695010?s=96&v=4,https://github.com/dalathegreat,Battery-Emulator,c++,monthly,2025-07-04T09:21:29.395930
12,SteveMacenski,Steve Macenski,Slam Toolbox for lifelong mapping and localization in potentially massive maps with ROS,https://avatars.githubusercontent.com/u/14944147?s=96&v=4,https://github.com/SteveMacenski,slam_toolbox,c++,monthly,2025-07-04T09:21:29.396644
