rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,liyunfan1223,Yunfan Li,AzerothCore Playerbots Module,https://avatars.githubusercontent.com/u/56597220?s=96&v=4,https://github.com/liyunfan1223,mod-playerbots,c++,weekly,2025-07-04T09:21:26.993415
2,,yhirose,A C++ header-only HTTP/HTTPS server and client library,https://avatars.githubusercontent.com/u/357397?s=96&v=4,https://github.com/yhirose,cpp-httplib,c++,weekly,2025-07-04T09:21:26.994161
3,me-no-dev,Me No Dev,Async Web Server for ESP8266 and ESP32,https://avatars.githubusercontent.com/u/12663778?s=96&v=4,https://github.com/me-no-dev,ESPAsyncWebServer,c++,weekly,2025-07-04T09:21:26.994837
4,zeux,Arseny Kapoulkine,Mesh optimization library that makes meshes smaller and faster to render,https://avatars.githubusercontent.com/u/1106629?s=96&v=4,https://github.com/zeux,meshoptimizer,c++,weekly,2025-07-04T09:21:26.995484
5,jgromes,Jan Gromeš,Universal wireless communication library for embedded devices,https://avatars.githubusercontent.com/u/3407192?s=96&v=4,https://github.com/jgromes,RadioLib,c++,weekly,2025-07-04T09:21:26.996152
6,randombit,Jack Lloyd,Cryptography Toolkit,https://avatars.githubusercontent.com/u/469092?s=96&v=4,https://github.com/randombit,botan,c++,weekly,2025-07-04T09:21:26.996815
7,dalathegreat,Daniel Öster,This revolutionary software enables EV battery packs to be easily reused for stationary storage in combination with solar inverters,https://avatars.githubusercontent.com/u/26695010?s=96&v=4,https://github.com/dalathegreat,Battery-Emulator,c++,weekly,2025-07-04T09:21:26.997450
8,chfast,Paweł Bylica,C/C++ implementation of Ethash and ProgPoW – the Ethereum Proof of Work algorithms,https://avatars.githubusercontent.com/u/573380?s=96&v=4,https://github.com/chfast,ethash,c++,weekly,2025-07-04T09:21:26.998102
9,78,Xiaoxia,An MCP-based chatbot | 一个基于MCP的聊天机器人,https://avatars.githubusercontent.com/u/4488133?s=96&v=4,https://github.com/78,xiaozhi-esp32,c++,weekly,2025-07-04T09:21:26.998750
10,romange,Roman Gershman,A modern framework for backend development based on io_uring Linux interface,https://avatars.githubusercontent.com/u/3674760?s=96&v=4,https://github.com/romange,helio,c++,weekly,2025-07-04T09:21:26.999386
11,SteveMacenski,Steve Macenski,Slam Toolbox for lifelong mapping and localization in potentially massive maps with ROS,https://avatars.githubusercontent.com/u/14944147?s=96&v=4,https://github.com/SteveMacenski,slam_toolbox,c++,weekly,2025-07-04T09:21:27.000034
12,MistEO,MistEO,✨ Next-gen C++ JSON/JSON5 Serialization Engine | Zero Dependency | Header-Only | Unleash JSON Potential,https://avatars.githubusercontent.com/u/18511905?s=96&v=4,https://github.com/MistEO,meojson,c++,weekly,2025-07-04T09:21:27.000685
13,walbourn,Chuck Walbourn,"This repo contains Direct3D 11, XInput, and XAudio2 samples C++ samples from the legacy DirectX SDK updated to build using the Windows 10…",https://avatars.githubusercontent.com/u/11866002?s=96&v=4,https://github.com/walbourn,directx-sdk-samples-reworked,c++,weekly,2025-07-04T09:21:27.001318
14,mosra,Vladimír Vondruš,Lightweight and modular C++11 graphics middleware for games and data visualization,https://avatars.githubusercontent.com/u/344828?s=96&v=4,https://github.com/mosra,magnum,c++,weekly,2025-07-04T09:21:27.001975
15,syssi,Sebastian Muszynski,ESPHome component to monitor and control a Jikong Battery Management System (JK-BMS) via UART-TTL or BLE,https://avatars.githubusercontent.com/u/2735933?s=96&v=4,https://github.com/syssi,esphome-jk-bms,c++,weekly,2025-07-04T09:21:27.002620
16,AGulev,Alexey Gulev,Library for sending messages from JavaScript to Defold (Lua),https://avatars.githubusercontent.com/u/2209596?s=96&v=4,https://github.com/AGulev,jstodef,c++,weekly,2025-07-04T09:21:27.003247
17,cagnulein,Roberto Viola,Zwift bridge for smart treadmills and bike/cyclette,https://avatars.githubusercontent.com/u/48216?s=96&v=4,https://github.com/cagnulein,qdomyos-zwift,c++,weekly,2025-07-04T09:21:27.003879
18,,otakuto,CrazyDiskInfo is an interactive TUI S.M.A.R.T viewer for Unix systems.,https://avatars.githubusercontent.com/u/3875304?s=96&v=4,https://github.com/otakuto,crazydiskinfo,c++,weekly,2025-07-04T09:21:27.004524
19,HarshCasper,Harsh Mishra,Bringing all Data Structures and Algorithms under one Roof ⚡,https://avatars.githubusercontent.com/u/47351025?s=96&v=4,https://github.com/HarshCasper,NeoAlgo,c++,weekly,2025-07-04T09:21:27.005163
20,AlexandreRouma,AlexandreRouma,Cross-Platform SDR Software,https://avatars.githubusercontent.com/u/17126412?s=96&v=4,https://github.com/AlexandreRouma,SDRPlusPlus,c++,weekly,2025-07-04T09:21:27.005812
21,zrax,Michael Hansen,C++ python bytecode disassembler and decompiler,https://avatars.githubusercontent.com/u/714191?s=96&v=4,https://github.com/zrax,pycdc,c++,weekly,2025-07-04T09:21:27.006442
22,youtalk,Yutaka Kondo,ROS2 Navigation,https://avatars.githubusercontent.com/u/579333?s=96&v=4,https://github.com/youtalk,navigation2,c++,weekly,2025-07-04T09:21:27.007088
23,rsasaki0109,rsasaki0109,ROS 2 package of 3D lidar slam using ndt/gicp registration and pose-optimization,https://avatars.githubusercontent.com/u/18298605?s=96&v=4,https://github.com/rsasaki0109,lidarslam_ros2,c++,weekly,2025-07-04T09:21:27.007730
24,wangyu-,Yancey Wang,"A Tunnel which Turns UDP Traffic into Encrypted UDP/FakeTCP/ICMP Traffic by using Raw Socket,helps you Bypass UDP FireWalls(or Unstable U…",https://avatars.githubusercontent.com/u/4922024?s=96&v=4,https://github.com/wangyu-,udp2raw,c++,weekly,2025-07-04T09:21:27.008348
25,tachyons,Aboobacker MK,Unofficial Qt gui for olam english malayalam dictionary,https://avatars.githubusercontent.com/u/3112976?s=96&v=4,https://github.com/tachyons,olam,c++,weekly,2025-07-04T09:21:27.008985
