rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,evanw,Evan Wallace,An extremely fast bundler for the web,https://avatars.githubusercontent.com/u/406394?s=96&v=4,https://github.com/evanw,esbuild,go,daily,2025-07-04T09:21:15.043761
2,buger,Leonid Bugaev,GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to continuously test your …,https://avatars.githubusercontent.com/u/14009?s=96&v=4,https://github.com/buger,goreplay,go,daily,2025-07-04T09:21:15.044452
3,tonistiigi,Tõnis Tiigi,Cross-platform emulator collection distributed with Docker images.,https://avatars.githubusercontent.com/u/585223?s=96&v=4,https://github.com/tonistiigi,binfmt,go,daily,2025-07-04T09:21:15.045118
4,matttproud,Matt T. Proud,Package goldentest makes it easy to build tests that compare outputs from a system under test against version control-managed reference f…,https://avatars.githubusercontent.com/u/46149?s=96&v=4,https://github.com/matttproud,goldentest,go,daily,2025-07-04T09:21:15.045795
5,neilalexander,Neil,End-to-end encrypted email for the mesh networking age,https://avatars.githubusercontent.com/u/310854?s=96&v=4,https://github.com/neilalexander,yggmail,go,daily,2025-07-04T09:21:15.046436
6,savsgio,Sergio VS,High performance and extensible micro web framework. Zero memory allocations in hot paths.,https://avatars.githubusercontent.com/u/13466135?s=96&v=4,https://github.com/savsgio,atreugo,go,daily,2025-07-04T09:21:15.047100
7,mgechev,Minko Gechev,"🔥 ~6x faster, stricter, configurable, extensible, and beautiful drop-in replacement for golint",https://avatars.githubusercontent.com/u/455023?s=96&v=4,https://github.com/mgechev,revive,go,daily,2025-07-04T09:21:15.047758
8,chai2010,柴树杉,📚 《Go语言高级编程》开源图书，涵盖CGO、Go汇编语言、RPC实现、Protobuf插件实现、Web框架实现、分布式系统等高阶主题(完稿),https://avatars.githubusercontent.com/u/2295542?s=96&v=4,https://github.com/chai2010,advanced-go-programming-book,go,daily,2025-07-04T09:21:15.048400
9,valyala,Aliaksandr Valialkin,Fast HTTP package for Go. Tuned for high performance. Zero memory allocations in hot paths. Up to 10x faster than net/http,https://avatars.githubusercontent.com/u/283442?s=96&v=4,https://github.com/valyala,fasthttp,go,daily,2025-07-04T09:21:15.049048
10,uudashr,Nuruddin Ashr,Calculates cognitive complexities of functions (and methods) in Go source code. (Golang cognitive complexity),https://avatars.githubusercontent.com/u/166053?s=96&v=4,https://github.com/uudashr,gocognit,go,daily,2025-07-04T09:21:15.049786
11,howardjohn,John Howard,Gateway API Benchmarks provides a common set of tests to evaluate a Gateway API implementation.,https://avatars.githubusercontent.com/u/623453?s=96&v=4,https://github.com/howardjohn,gateway-api-bench,go,daily,2025-07-04T09:21:15.050426
12,jackc,Jack Christensen,PostgreSQL driver and toolkit for Go,https://avatars.githubusercontent.com/u/94130?s=96&v=4,https://github.com/jackc,pgx,go,daily,2025-07-04T09:21:15.051085
13,tidwall,Josh Baker,Get JSON values quickly - JSON parser for Go,https://avatars.githubusercontent.com/u/1156077?s=96&v=4,https://github.com/tidwall,gjson,go,daily,2025-07-04T09:21:15.051747
14,aandrew-me,Andrew,AI Chatbots in terminal without needing API keys,https://avatars.githubusercontent.com/u/66430340?s=96&v=4,https://github.com/aandrew-me,tgpt,go,daily,2025-07-04T09:21:15.052384
15,klauspost,Klaus Post,Optimized Go Compression Packages,https://avatars.githubusercontent.com/u/5663952?s=96&v=4,https://github.com/klauspost,compress,go,daily,2025-07-04T09:21:15.053036
16,fatih,Fatih Arslan,Color package for Go (golang),https://avatars.githubusercontent.com/u/438920?s=96&v=4,https://github.com/fatih,color,go,daily,2025-07-04T09:21:15.053696
17,rs,Olivier Poitrey,Zero Allocation JSON Logger,https://avatars.githubusercontent.com/u/68232?s=96&v=4,https://github.com/rs,zerolog,go,daily,2025-07-04T09:21:15.054321
18,armon,Armon Dadgar,SOCKS5 server in Golang,https://avatars.githubusercontent.com/u/592032?s=96&v=4,https://github.com/armon,go-socks5,go,daily,2025-07-04T09:21:15.054971
19,quasilyte,quasilyte,Define and run pattern-based custom linting rules.,https://avatars.githubusercontent.com/u/6286655?s=96&v=4,https://github.com/quasilyte,go-ruleguard,go,daily,2025-07-04T09:21:15.055610
20,eapache,Evan Huus,Resiliency patterns for golang,https://avatars.githubusercontent.com/u/1706826?s=96&v=4,https://github.com/eapache,go-resiliency,go,daily,2025-07-04T09:21:15.056235
21,knqyf263,Teppei Fukuda,GitHub CLI extension for managing git worktrees with pull requests,https://avatars.githubusercontent.com/u/2253692?s=96&v=4,https://github.com/knqyf263,gh-worktree,go,daily,2025-07-04T09:21:15.056882
22,kisielk,Kamil Kisiel,errcheck checks that you checked errors.,https://avatars.githubusercontent.com/u/58618?s=96&v=4,https://github.com/kisielk,errcheck,go,daily,2025-07-04T09:21:15.057523
23,zeebo,Jeff Wendling,XXH3 algorithm in Go,https://avatars.githubusercontent.com/u/96925?s=96&v=4,https://github.com/zeebo,xxh3,go,daily,2025-07-04T09:21:15.058153
24,vmihailenco,Vladimir Mihailenco,msgpack.org[Go] MessagePack encoding for Golang,https://avatars.githubusercontent.com/u/290976?s=96&v=4,https://github.com/vmihailenco,msgpack,go,daily,2025-07-04T09:21:15.058801
