rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,tmc,Travis Cline,"LangChain for Go, the easiest way to write LLM-based programs in Go",https://avatars.githubusercontent.com/u/3977?s=96&v=4,https://github.com/tmc,langchaingo,go,monthly,2025-07-04T09:21:21.045197
2,amir20,Amir Raminfar,"Realtime log viewer for containers. Supports Docker, Swarm and K8s.",https://avatars.githubusercontent.com/u/260667?s=96&v=4,https://github.com/amir20,dozzle,go,monthly,2025-07-04T09:21:21.045899
3,kujtimiihoxha,Kujtim Hoxha,,https://avatars.githubusercontent.com/u/14311743?s=96&v=4,https://github.com/kujtimiihoxha,vimtea,go,monthly,2025-07-04T09:21:21.046536
4,wendigo,"Mateusz ""Serafin"" Gajewski",Chrome DevTools Protocol Proxy - intelligent proxy for debugging purposes,https://avatars.githubusercontent.com/u/66972?s=96&v=4,https://github.com/wendigo,chrome-protocol-proxy,go,monthly,2025-07-04T09:21:21.047183
5,manusa,Marc Nuri,Model Context Protocol (MCP) server for Kubernetes and OpenShift,https://avatars.githubusercontent.com/u/488391?s=96&v=4,https://github.com/manusa,kubernetes-mcp-server,go,monthly,2025-07-04T09:21:21.047836
6,Antonboom,Anton Telyshev,The Golang linter that checks usage of github.com/stretchr/testify.,https://avatars.githubusercontent.com/u/17127404?s=96&v=4,https://github.com/Antonboom,testifylint,go,monthly,2025-07-04T09:21:21.048469
7,alireza0,Alireza Ahmadi,An advanced Web Panel • Built for SagerNet/Sing-Box,https://avatars.githubusercontent.com/u/12573084?s=96&v=4,https://github.com/alireza0,s-ui,go,monthly,2025-07-04T09:21:21.049131
8,jba,Jonathan Amsterdam,Checking Go templates for validity.,https://avatars.githubusercontent.com/u/18483045?s=96&v=4,https://github.com/jba,templatecheck,go,monthly,2025-07-04T09:21:21.049782
9,sethvargo,Seth Vargo,A Go library for parsing struct tags from environment variables.,https://avatars.githubusercontent.com/u/408570?s=96&v=4,https://github.com/sethvargo,go-envconfig,go,monthly,2025-07-04T09:21:21.050410
10,mfridman,Michael Fridman,CLI tool for summarizing go test output. Pipe friendly. CI/CD friendly.,https://avatars.githubusercontent.com/u/6278244?s=96&v=4,https://github.com/mfridman,tparse,go,monthly,2025-07-04T09:21:21.051061
11,anuraaga,Anuraag (Rag) Agrawal,"Get up and running with Llama 3.1, Mistral, Gemma 2, and other large language models.",https://avatars.githubusercontent.com/u/198344?s=96&v=4,https://github.com/anuraaga,ollama,go,monthly,2025-07-04T09:21:21.051702
12,butuzov,Oleg Butuzov,"Accept Interfaces, Return Concrete Types",https://avatars.githubusercontent.com/u/651824?s=96&v=4,https://github.com/butuzov,ireturn,go,monthly,2025-07-04T09:21:21.052321
13,blampe,Bryce Lampe,Corrective lenses for curmudgeonly readars in your life,https://avatars.githubusercontent.com/u/848843?s=96&v=4,https://github.com/blampe,rreading-glasses,go,monthly,2025-07-04T09:21:21.052960
14,jakebailey,Jake Bailey,,https://avatars.githubusercontent.com/u/5341706?s=96&v=4,https://github.com/jakebailey,ts-to-go,go,monthly,2025-07-04T09:21:21.053580
15,bradfitz,Brad Fitzpatrick,Go Memcached client library #golang,https://avatars.githubusercontent.com/u/2621?s=96&v=4,https://github.com/bradfitz,gomemcache,go,monthly,2025-07-04T09:21:21.054223
16,buger,Leonid Bugaev,GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to continuously test your …,https://avatars.githubusercontent.com/u/14009?s=96&v=4,https://github.com/buger,goreplay,go,monthly,2025-07-04T09:21:21.054877
17,oschwald,Gregory Oschwald,Unofficial MaxMind GeoIP2 Reader for Go,https://avatars.githubusercontent.com/u/278835?s=96&v=4,https://github.com/oschwald,geoip2-golang,go,monthly,2025-07-04T09:21:21.055536
18,uudashr,Nuruddin Ashr,"Linter to detects the overuse or misuse of interfaces in Go code AKA ""Interface Pollution""",https://avatars.githubusercontent.com/u/166053?s=96&v=4,https://github.com/uudashr,iface,go,monthly,2025-07-04T09:21:21.056170
19,dundee,Daniel Milde,Fast disk usage analyzer with console interface written in Go,https://avatars.githubusercontent.com/u/27106?s=96&v=4,https://github.com/dundee,gdu,go,monthly,2025-07-04T09:21:21.056812
20,Slach,Eugene Klimov,CLI utility for build flamegraph based on system.trace_log,https://avatars.githubusercontent.com/u/105560?s=96&v=4,https://github.com/Slach,clickhouse-flamegraph,go,monthly,2025-07-04T09:21:21.057435
21,leighmcculloch,Leigh,Check that no globals are present in Go code.,https://avatars.githubusercontent.com/u/351529?s=96&v=4,https://github.com/leighmcculloch,gochecknoglobals,go,monthly,2025-07-04T09:21:21.058075
22,tonistiigi,Tõnis Tiigi,Cross-platform emulator collection distributed with Docker images.,https://avatars.githubusercontent.com/u/585223?s=96&v=4,https://github.com/tonistiigi,binfmt,go,monthly,2025-07-04T09:21:21.058712
23,cpuguy83,Brian Goff,,https://avatars.githubusercontent.com/u/799078?s=96&v=4,https://github.com/cpuguy83,go-md2man,go,monthly,2025-07-04T09:21:21.059314
24,josharian,Josh Bleecher Snyder,impl generates method stubs for implementing an interface.,https://avatars.githubusercontent.com/u/67496?s=96&v=4,https://github.com/josharian,impl,go,monthly,2025-07-04T09:21:21.059957
25,miekg,Miek Gieben,DNS library in Go,https://avatars.githubusercontent.com/u/353371?s=96&v=4,https://github.com/miekg,dns,go,monthly,2025-07-04T09:21:21.060599
