rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,buger,Leonid Bugaev,GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to continuously test your …,https://avatars.githubusercontent.com/u/14009?s=96&v=4,https://github.com/buger,goreplay,go,weekly,2025-07-04T09:21:17.594245
2,yorukot,Yorukot,Pretty fancy and modern terminal file manager,https://avatars.githubusercontent.com/u/107802416?s=96&v=4,https://github.com/yorukot,superfile,go,weekly,2025-07-04T09:21:17.594893
3,wendigo,"Mateusz ""Serafin"" Gajewski",Chrome DevTools Protocol Proxy - intelligent proxy for debugging purposes,https://avatars.githubusercontent.com/u/66972?s=96&v=4,https://github.com/wendigo,chrome-protocol-proxy,go,weekly,2025-07-04T09:21:17.595472
4,kujtimiihoxha,Kujtim Hoxha,,https://avatars.githubusercontent.com/u/14311743?s=96&v=4,https://github.com/kujtimiihoxha,vimtea,go,weekly,2025-07-04T09:21:17.596046
5,blampe,Bryce Lampe,Corrective lenses for curmudgeonly readars in your life,https://avatars.githubusercontent.com/u/848843?s=96&v=4,https://github.com/blampe,rreading-glasses,go,weekly,2025-07-04T09:21:17.596625
6,evanw,Evan Wallace,An extremely fast bundler for the web,https://avatars.githubusercontent.com/u/406394?s=96&v=4,https://github.com/evanw,esbuild,go,weekly,2025-07-04T09:21:17.597185
7,cpuguy83,Brian Goff,,https://avatars.githubusercontent.com/u/799078?s=96&v=4,https://github.com/cpuguy83,go-md2man,go,weekly,2025-07-04T09:21:17.597740
8,alireza0,Alireza Ahmadi,An advanced Web Panel • Built for SagerNet/Sing-Box,https://avatars.githubusercontent.com/u/12573084?s=96&v=4,https://github.com/alireza0,s-ui,go,weekly,2025-07-04T09:21:17.598295
9,twpayne,Tom Payne,"Manage your dotfiles across multiple diverse machines, securely.",https://avatars.githubusercontent.com/u/6942?s=96&v=4,https://github.com/twpayne,chezmoi,go,weekly,2025-07-04T09:21:17.598866
10,neilalexander,Neil,End-to-end encrypted email for the mesh networking age,https://avatars.githubusercontent.com/u/310854?s=96&v=4,https://github.com/neilalexander,yggmail,go,weekly,2025-07-04T09:21:17.599421
11,MagMueller,Magnus Müller,Analyze GitHub stars,https://avatars.githubusercontent.com/u/67061560?s=96&v=4,https://github.com/MagMueller,stargazers,go,weekly,2025-07-04T09:21:17.599997
12,wader,Mattias Wadman,"jq for binary formats - tool, language and decoders for working with binary and text formats",https://avatars.githubusercontent.com/u/185566?s=96&v=4,https://github.com/wader,fq,go,weekly,2025-07-04T09:21:17.600551
13,yannh,Yann Hamon,"A FAST Kubernetes manifests validator, with support for Custom Resources!",https://avatars.githubusercontent.com/u/210669?s=96&v=4,https://github.com/yannh,kubeconform,go,weekly,2025-07-04T09:21:17.601100
14,,c9s,The modern cryptocurrency trading bot framework written in Go.,https://avatars.githubusercontent.com/u/50894?s=96&v=4,https://github.com/c9s,bbgo,go,weekly,2025-07-04T09:21:17.601676
15,klauspost,Klaus Post,Optimized Go Compression Packages,https://avatars.githubusercontent.com/u/5663952?s=96&v=4,https://github.com/klauspost,compress,go,weekly,2025-07-04T09:21:17.602222
16,jba,Jonathan Amsterdam,,https://avatars.githubusercontent.com/u/18483045?s=96&v=4,https://github.com/jba,go-sdk,go,weekly,2025-07-04T09:21:17.602778
17,srikanthccv,Srikanth Chekuri,[JSON Schema](https://json-schema.org/) for the OTEL Collector YAML configuration file.,https://avatars.githubusercontent.com/u/22846633?s=96&v=4,https://github.com/srikanthccv,otelcol-jsonschema,go,weekly,2025-07-04T09:21:17.603334
18,fxamacker,Faye Amacker,"CBOR codec (RFC 8949, RFC 8742) with CBOR tags, Go struct tag options (toarray, keyasint, omitempty, omitzero), float64/32/16, big.Int, a…",https://avatars.githubusercontent.com/u/33205765?s=96&v=4,https://github.com/fxamacker,cbor,go,weekly,2025-07-04T09:21:17.603900
19,armon,Armon Dadgar,SOCKS5 server in Golang,https://avatars.githubusercontent.com/u/592032?s=96&v=4,https://github.com/armon,go-socks5,go,weekly,2025-07-04T09:21:17.604450
20,en,Julian Sun,siren is a cryptocurrency exchange built using microservice architecture.,https://avatars.githubusercontent.com/u/14307069?s=96&v=4,https://github.com/en,siren,go,weekly,2025-07-04T09:21:17.605005
21,cep21,Jack Lindamood,An open telemetry implementation of circuit library metric collector,https://avatars.githubusercontent.com/u/20358?s=96&v=4,https://github.com/cep21,circuitotel,go,weekly,2025-07-04T09:21:17.605558
22,leighmcculloch,Leigh,Check that no globals are present in Go code.,https://avatars.githubusercontent.com/u/351529?s=96&v=4,https://github.com/leighmcculloch,gochecknoglobals,go,weekly,2025-07-04T09:21:17.606102
23,jackc,Jack Christensen,PostgreSQL driver and toolkit for Go,https://avatars.githubusercontent.com/u/94130?s=96&v=4,https://github.com/jackc,pgx,go,weekly,2025-07-04T09:21:17.606657
24,rakyll,Jaana Dogan,"HTTP load generator, ApacheBench (ab) replacement",https://avatars.githubusercontent.com/u/108380?s=96&v=4,https://github.com/rakyll,hey,go,weekly,2025-07-04T09:21:17.607205
25,valyala,Aliaksandr Valialkin,Fast HTTP package for Go. Tuned for high performance. Zero memory allocations in hot paths. Up to 10x faster than net/http,https://avatars.githubusercontent.com/u/283442?s=96&v=4,https://github.com/valyala,fasthttp,go,weekly,2025-07-04T09:21:17.607763
