rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,ThomasVitale,Thomas Vitale,"🍃 Code samples and projects from the book ""Cloud Native Spring in Action - With Spring Boot and Kubernetes"" (Manning)",https://avatars.githubusercontent.com/u/8523418?s=96&v=4,https://github.com/ThomasVitale,cloud-native-spring-in-action,java,daily,2025-07-04T09:20:57.657596
2,binarywang,Binary Wang,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,https://avatars.githubusercontent.com/u/1343140?s=96&v=4,https://github.com/binarywang,WxJava,java,daily,2025-07-04T09:20:57.658683
3,mik3y,mike w,"Android USB host serial driver library for CDC, FTDI, Arduino and other devices.",https://avatars.githubusercontent.com/u/390829?s=96&v=4,https://github.com/mik3y,usb-serial-for-android,java,daily,2025-07-04T09:20:57.659594
4,ben-manes,Ben Manes,A high performance caching library for Java,https://avatars.githubusercontent.com/u/378614?s=96&v=4,https://github.com/ben-manes,caffeine,java,daily,2025-07-04T09:20:57.660277
5,mp911de,Mark Paluch,JUnit extensions to launch JMH benchmarks from your IDE during development,https://avatars.githubusercontent.com/u/1035015?s=96&v=4,https://github.com/mp911de,microbenchmark-runner,java,daily,2025-07-04T09:20:57.660998
6,,Anuken,The automation tower defense RTS,https://avatars.githubusercontent.com/u/10100000?s=96&v=4,https://github.com/Anuken,Mindustry,java,daily,2025-07-04T09:20:57.661713
7,Neamar,Matthieu Bacconnier,"Lightning fast, open-source, < 250kb Android launcher",https://avatars.githubusercontent.com/u/536844?s=96&v=4,https://github.com/Neamar,KISS,java,daily,2025-07-04T09:20:57.662495
8,kermitt2,Patrice Lopez,A machine learning software for extracting information from scholarly documents,https://avatars.githubusercontent.com/u/2340795?s=96&v=4,https://github.com/kermitt2,grobid,java,daily,2025-07-04T09:20:57.663316
9,iloveeclipse,Andrey Loskutov,"""Swiss knife"" for Eclipse",https://avatars.githubusercontent.com/u/964108?s=96&v=4,https://github.com/iloveeclipse,anyedittools,java,daily,2025-07-04T09:20:57.664026
10,gsantner,Gregor Santner,"Text editor - Notes & ToDo (for Android) - Markdown, todo.txt, plaintext, math, ..",https://avatars.githubusercontent.com/u/6735650?s=96&v=4,https://github.com/gsantner,markor,java,daily,2025-07-04T09:20:57.664784
11,tbruyelle,Thomas,Android runtime permissions powered by RxJava2,https://avatars.githubusercontent.com/u/92280?s=96&v=4,https://github.com/tbruyelle,RxPermissions,java,daily,2025-07-04T09:20:57.666072
12,hierynomus,Jeroen van Erp,"Server Message Block (SMB2, SMB3) implementation in Java",https://avatars.githubusercontent.com/u/117667?s=96&v=4,https://github.com/hierynomus,smbj,java,daily,2025-07-04T09:20:57.667471
13,wgzhao,wgzhao,DBeaver agent,https://avatars.githubusercontent.com/u/1001616?s=96&v=4,https://github.com/wgzhao,dbeaver-agent,java,daily,2025-07-04T09:20:57.668855
14,lukas-krecan,Lukáš Křečan,Distributed lock for your scheduled tasks,https://avatars.githubusercontent.com/u/815787?s=96&v=4,https://github.com/lukas-krecan,ShedLock,java,daily,2025-07-04T09:20:57.670281
15,Dimezis,Dima Saviuk,Dynamic iOS-like blur of underlying Views for Android,https://avatars.githubusercontent.com/u/1433500?s=96&v=4,https://github.com/Dimezis,BlurView,java,daily,2025-07-04T09:20:57.671691
16,eirslett,Eirik Sletteberg,"""Maven-node-grunt-gulp-npm-node-plugin to end all maven-node-grunt-gulp-npm-plugins."" A Maven plugin that downloads/installs Node and NPM…",https://avatars.githubusercontent.com/u/1872593?s=96&v=4,https://github.com/eirslett,frontend-maven-plugin,java,daily,2025-07-04T09:20:57.673087
17,artembilan,Artem Bilan,,https://avatars.githubusercontent.com/u/1071590?s=96&v=4,https://github.com/artembilan,spring-integration,java,daily,2025-07-04T09:20:57.674360
