rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,cyyeh,Chih-Yu Yeh,This repository consists of notes taken from class readings and personal/team-based projects.,https://avatars.githubusercontent.com/u/11023068?s=96&v=4,https://github.com/cyyeh,MIT6.031_Software_Construction,java,monthly,2025-07-04T09:21:02.725863
2,vietj,Julien Viet,Slack client for Eclipse Vert.x,https://avatars.githubusercontent.com/u/225674?s=96&v=4,https://github.com/vietj,vertx-slack-client,java,monthly,2025-07-04T09:21:02.726616
3,gsantner,Gregor Santner,"Text editor - Notes & ToDo (for Android) - Markdown, todo.txt, plaintext, math, ..",https://avatars.githubusercontent.com/u/6735650?s=96&v=4,https://github.com/gsantner,markor,java,monthly,2025-07-04T09:21:02.727280
4,tananaev,Anton Tananaev,e-Passport NFC Reader Android app,https://avatars.githubusercontent.com/u/1161863?s=96&v=4,https://github.com/tananaev,passport-reader,java,monthly,2025-07-04T09:21:02.727985
5,HenryHengZJ,Henry Heng,Diseases diagnosis android apps using sklearn,https://avatars.githubusercontent.com/u/26460777?s=96&v=4,https://github.com/HenryHengZJ,HandyHealth,java,monthly,2025-07-04T09:21:02.728641
6,Meemaw,Matej Šnuderl,State of the art rate-limiting in Java.,https://avatars.githubusercontent.com/u/8524109?s=96&v=4,https://github.com/Meemaw,rate-limiting,java,monthly,2025-07-04T09:21:02.729290
7,TooTallNate,Nathan Rajlich,A barebones WebSocket client and server implementation written in 100% Java.,https://avatars.githubusercontent.com/u/71256?s=96&v=4,https://github.com/TooTallNate,Java-WebSocket,java,monthly,2025-07-04T09:21:02.729953
8,gunnarmorling,Gunnar Morling,1️⃣🐝🏎️ The One Billion Row Challenge -- A fun exploration of how quickly 1B rows from a text file can be aggregated with Java,https://avatars.githubusercontent.com/u/28612?s=96&v=4,https://github.com/gunnarmorling,1brc,java,monthly,2025-07-04T09:21:02.730633
9,apangin,Andrei Pangin,Fast Java native interface based on JVMCI,https://avatars.githubusercontent.com/u/1749416?s=96&v=4,https://github.com/apangin,nalim,java,monthly,2025-07-04T09:21:02.731288
10,rayokota,Robert Yokota,In-Memory Analytics for Kafka using DuckDB,https://avatars.githubusercontent.com/u/1761488?s=96&v=4,https://github.com/rayokota,kwack,java,monthly,2025-07-04T09:21:02.731967
11,elharo,Elliotte Rusty Harold,"XOM™ is a new XML object model. It is an open source (LGPL), tree-based API for processing XML with Java that strives for correctness, si…",https://avatars.githubusercontent.com/u/1005544?s=96&v=4,https://github.com/elharo,xom,java,monthly,2025-07-04T09:21:02.732661
12,binarywang,Binary Wang,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,https://avatars.githubusercontent.com/u/1343140?s=96&v=4,https://github.com/binarywang,WxJava,java,monthly,2025-07-04T09:21:02.733311
13,chaokunyang,Shawn Yang,Microservices Event Sourcing 是一个微服务架构的在线购物网站，使用Spring Boot、Spring Cloud、Spring Reactor、OAuth2、CQRS 构建，实现了基于Event Sourcing的最终一致性，提供了构建端到端微…,https://avatars.githubusercontent.com/u/12445254?s=96&v=4,https://github.com/chaokunyang,microservices-event-sourcing,java,monthly,2025-07-04T09:21:02.733999
14,vvb2060,南宫雪珊,,https://avatars.githubusercontent.com/u/26996262?s=96&v=4,https://github.com/vvb2060,KeyAttestation,java,monthly,2025-07-04T09:21:02.734674
15,MuntashirAkon,Muntashir Al-Islam,A full-featured package manager and viewer for Android,https://avatars.githubusercontent.com/u/8176128?s=96&v=4,https://github.com/MuntashirAkon,AppManager,java,monthly,2025-07-04T09:21:02.735318
16,amanjeetsingh150,Amanjeet Singh,A demo app showing movement of car on map like in Uber.,https://avatars.githubusercontent.com/u/12881364?s=96&v=4,https://github.com/amanjeetsingh150,UberCarAnimation,java,monthly,2025-07-04T09:21:02.736015
17,Col-E,Matt,The modern Java bytecode editor,https://avatars.githubusercontent.com/u/21371686?s=96&v=4,https://github.com/Col-E,Recaf,java,monthly,2025-07-04T09:21:02.736718
18,jonatan-ivanov,Jonatan Ivanov,Sample applications to demonstrate Observability concepts,https://avatars.githubusercontent.com/u/3044070?s=96&v=4,https://github.com/jonatan-ivanov,teahouse,java,monthly,2025-07-04T09:21:02.737375
19,javagl,Marco Hutter,Java libraries related to glTF,https://avatars.githubusercontent.com/u/5597569?s=96&v=4,https://github.com/javagl,JglTF,java,monthly,2025-07-04T09:21:02.738069
20,rubenlagus,Ruben Bermudez,Java library to create bots using Telegram Bots API,https://avatars.githubusercontent.com/u/2874352?s=96&v=4,https://github.com/rubenlagus,TelegramBots,java,monthly,2025-07-04T09:21:02.738772
21,kermitt2,Patrice Lopez,A machine learning software for extracting information from scholarly documents,https://avatars.githubusercontent.com/u/2340795?s=96&v=4,https://github.com/kermitt2,grobid,java,monthly,2025-07-04T09:21:02.739417
22,mik3y,mike w,"Android USB host serial driver library for CDC, FTDI, Arduino and other devices.",https://avatars.githubusercontent.com/u/390829?s=96&v=4,https://github.com/mik3y,usb-serial-for-android,java,monthly,2025-07-04T09:21:02.740114
23,ShaneBeee,Shane Bee,SkBee is a Skript addon that aims to add more useful elements to Skript.,https://avatars.githubusercontent.com/u/20008482?s=96&v=4,https://github.com/ShaneBeee,SkBee,java,monthly,2025-07-04T09:21:02.740804
24,chrisvest,Chris Vest,A fast object pool for the JVM,https://avatars.githubusercontent.com/u/7993?s=96&v=4,https://github.com/chrisvest,stormpot,java,monthly,2025-07-04T09:21:02.741445
25,noties,Dimitry,Android markdown library (no WebView),https://avatars.githubusercontent.com/u/7278986?s=96&v=4,https://github.com/noties,Markwon,java,monthly,2025-07-04T09:21:02.742117
