rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,azure-sdk,Azure SDK Bot,Android client SDKs for Microsoft Azure,https://avatars.githubusercontent.com/u/53356347?s=96&v=4,https://github.com/azure-sdk,azure-sdk-for-android,java,weekly,2025-07-04T09:21:00.199134
2,ben-manes,Ben Manes,A high performance caching library for Java,https://avatars.githubusercontent.com/u/378614?s=96&v=4,https://github.com/ben-manes,caffeine,java,weekly,2025-07-04T09:21:00.199850
3,weblate,Weblate (bot),A realtime malware scanner (fork of Divestos version)| LOOKING FOR A MAINTAINER !,https://avatars.githubusercontent.com/u/1607653?s=96&v=4,https://github.com/weblate,Hypatia-1,java,weekly,2025-07-04T09:21:00.200490
4,rayokota,Robert Yokota,In-Memory Analytics for Kafka using DuckDB,https://avatars.githubusercontent.com/u/1761488?s=96&v=4,https://github.com/rayokota,kwack,java,weekly,2025-07-04T09:21:00.201143
5,binarywang,Binary Wang,微信开发 Java SDK ，支持包括微信支付，开放平台，小程序，企业微信，视频号，公众号等的后端开发,https://avatars.githubusercontent.com/u/1343140?s=96&v=4,https://github.com/binarywang,WxJava,java,weekly,2025-07-04T09:21:00.201805
6,MuntashirAkon,Muntashir Al-Islam,A full-featured package manager and viewer for Android,https://avatars.githubusercontent.com/u/8176128?s=96&v=4,https://github.com/MuntashirAkon,AppManager,java,weekly,2025-07-04T09:21:00.202443
7,amanjeetsingh150,Amanjeet Singh,A demo app showing movement of car on map like in Uber.,https://avatars.githubusercontent.com/u/12881364?s=96&v=4,https://github.com/amanjeetsingh150,UberCarAnimation,java,weekly,2025-07-04T09:21:00.203101
8,cyyeh,Chih-Yu Yeh,This repository consists of notes taken from class readings and personal/team-based projects.,https://avatars.githubusercontent.com/u/11023068?s=96&v=4,https://github.com/cyyeh,MIT6.031_Software_Construction,java,weekly,2025-07-04T09:21:00.203753
9,artembilan,Artem Bilan,Spring Integration implementations for well-known Microservices Patterns,https://avatars.githubusercontent.com/u/1071590?s=96&v=4,https://github.com/artembilan,microservices-patterns-spring-integration,java,weekly,2025-07-04T09:21:00.204383
10,justinmclean,Justin Mclean,Code for talks at AnDevCon Boston 2014,https://avatars.githubusercontent.com/u/144504?s=96&v=4,https://github.com/justinmclean,AnDevCon2014,java,weekly,2025-07-04T09:21:00.205026
11,cdietrich,Christian Dietrich,An Example for an Xtext Language Server,https://avatars.githubusercontent.com/u/238736?s=96&v=4,https://github.com/cdietrich,xtext-languageserver-example,java,weekly,2025-07-04T09:21:00.205675
12,iloveeclipse,Andrey Loskutov,Eclipse plugin showing data hierarchy for Java classes,https://avatars.githubusercontent.com/u/964108?s=96&v=4,https://github.com/iloveeclipse,datahierarchy,java,weekly,2025-07-04T09:21:00.206299
13,lgallard,Luis M. Gallardo D.,qBittorrent Controller - An Android app for controlling qBittorrent servers,https://avatars.githubusercontent.com/u/6194359?s=96&v=4,https://github.com/lgallard,qBittorrent-Controller,java,weekly,2025-07-04T09:21:00.206941
14,hnyls2002,Liangsheng Yin,ACM class's compiler homework in 2022-autumn,https://avatars.githubusercontent.com/u/95566987?s=96&v=4,https://github.com/hnyls2002,Mx-Compiler,java,weekly,2025-07-04T09:21:00.207588
15,vvb2060,南宫雪珊,,https://avatars.githubusercontent.com/u/26996262?s=96&v=4,https://github.com/vvb2060,KeyAttestation,java,weekly,2025-07-04T09:21:00.208212
16,,Anuken,The automation tower defense RTS,https://avatars.githubusercontent.com/u/10100000?s=96&v=4,https://github.com/Anuken,Mindustry,java,weekly,2025-07-04T09:21:00.208876
17,IMS94,Imesha Sudasingha,Example project to do role based access control (RBAC) using Spring Boot and JWT,https://avatars.githubusercontent.com/u/11285165?s=96&v=4,https://github.com/IMS94,spring-boot-jwt-authorization,java,weekly,2025-07-04T09:21:00.209536
18,LorenzoBettini,Lorenzo Bettini,An Xtext DSL for EMF metamodels refactoring and migration,https://avatars.githubusercontent.com/u/1202254?s=96&v=4,https://github.com/LorenzoBettini,edelta,java,weekly,2025-07-04T09:21:00.210185
19,stephanj,Stephan Janssen,,https://avatars.githubusercontent.com/u/179457?s=96&v=4,https://github.com/stephanj,MCPJavaFileSystem,java,weekly,2025-07-04T09:21:00.210814
20,thegreystone,Marcus Hirt,A hands-on-lab/tutorial for learning JDK Mission Control 7+.,https://avatars.githubusercontent.com/u/16906077?s=96&v=4,https://github.com/thegreystone,jmc-tutorial,java,weekly,2025-07-04T09:21:00.211448
21,ozangunalp,Ozan Gunalp,Kafka broker compiled to native using Quarkus and GraalVM.,https://avatars.githubusercontent.com/u/294765?s=96&v=4,https://github.com/ozangunalp,kafka-native,java,weekly,2025-07-04T09:21:00.212110
22,nvb,Nathan VanBenschoten,An Android library allowing images to exhibit a parallax effect that reacts to the device's tilt,https://avatars.githubusercontent.com/u/5438456?s=96&v=4,https://github.com/nvb,motion,java,weekly,2025-07-04T09:21:00.212770
23,farmerbb,Braden Farmer,PC-style productivity for Android,https://avatars.githubusercontent.com/u/6822476?s=96&v=4,https://github.com/farmerbb,Taskbar,java,weekly,2025-07-04T09:21:00.213404
24,TooTallNate,Nathan Rajlich,A barebones WebSocket client and server implementation written in 100% Java.,https://avatars.githubusercontent.com/u/71256?s=96&v=4,https://github.com/TooTallNate,Java-WebSocket,java,weekly,2025-07-04T09:21:00.214056
25,cyberphone,Anders Rundgren,JSON Canonicalization Scheme (JCS),https://avatars.githubusercontent.com/u/8044211?s=96&v=4,https://github.com/cyberphone,json-canonicalization,java,weekly,2025-07-04T09:21:00.214717
