rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,,atomiks,"Tooltip, popover, dropdown, and menu library",https://avatars.githubusercontent.com/u/22450188?s=96&v=4,https://github.com/atomiks,tippyjs,javascript,daily,2025-07-04T09:20:39.205563
2,tommoor,Tom Moor,Normalize and render emoji's the way your users expect.,https://avatars.githubusercontent.com/u/380914?s=96&v=4,https://github.com/tommoor,react-emoji-render,javascript,daily,2025-07-04T09:20:39.206208
3,philc,Phil Crosby,The hacker's browser.,https://avatars.githubusercontent.com/u/8598?s=96&v=4,https://github.com/philc,vimium,javascript,daily,2025-07-04T09:20:39.206831
4,ryanbr,Fanboynz,,https://avatars.githubusercontent.com/u/1659004?s=96&v=4,https://github.com/ryanbr,browser-comparison-toolkit,javascript,daily,2025-07-04T09:20:39.207393
5,artf,Artur Arseniev,"Easy configurable gradient picker, with no dependencies",https://avatars.githubusercontent.com/u/11614725?s=96&v=4,https://github.com/artf,grapick,javascript,daily,2025-07-04T09:20:39.207998
6,vursen,Sergey Vinogradov,"A lightweight (2kb gzipped), zero-dependency javascript library for making a sidebar float.",https://avatars.githubusercontent.com/u/5039436?s=96&v=4,https://github.com/vursen,FloatSidebar.js,javascript,daily,2025-07-04T09:20:39.208593
7,Aljullu,Albert Juhé Lluveras,React Component to lazy load images and components using a HOC to track window scroll position.,https://avatars.githubusercontent.com/u/3616980?s=96&v=4,https://github.com/Aljullu,react-lazy-load-image-component,javascript,daily,2025-07-04T09:20:39.209172
8,voodoohop,voodoohop,🐱 CatGPT Meme Generator - Create personalized cat memes with AI! A collaboration with Tanika Godbole,https://avatars.githubusercontent.com/u/5099901?s=96&v=4,https://github.com/voodoohop,catgpt,javascript,daily,2025-07-04T09:20:39.209839
9,Rich-Harris,Rich Harris,Straightforward project scaffolding,https://avatars.githubusercontent.com/u/1162160?s=96&v=4,https://github.com/Rich-Harris,degit,javascript,daily,2025-07-04T09:20:39.210445
10,jaywcjlove,小弟调调," Now we have become very big, Different from the original idea. Collect premium software in various categories.",https://avatars.githubusercontent.com/u/1680273?s=96&v=4,https://github.com/jaywcjlove,awesome-mac,javascript,daily,2025-07-04T09:20:39.211039
11,thibaudcolas,Thibaud Colas,</> htmx - high power tools for HTML,https://avatars.githubusercontent.com/u/877585?s=96&v=4,https://github.com/thibaudcolas,htmx,javascript,daily,2025-07-04T09:20:39.211626
12,unixfox,Émilien (perso),A webpage proxy that request through Chromium (puppeteer) - can be used to bypass Cloudflare anti bot / anti ddos on any application (lik…,https://avatars.githubusercontent.com/u/4016501?s=96&v=4,https://github.com/unixfox,pupflare,javascript,daily,2025-07-04T09:20:39.212219
13,lutzroeder,Lutz Roeder,"Visualizer for neural network, deep learning and machine learning models",https://avatars.githubusercontent.com/u/438516?s=96&v=4,https://github.com/lutzroeder,netron,javascript,daily,2025-07-04T09:20:39.212805
14,ganeshrvel,Ganesh Rathinavel Medayil,OpenMTP - Advanced Android File Transfer Application for macOS,https://avatars.githubusercontent.com/u/182092?s=96&v=4,https://github.com/ganeshrvel,openmtp,javascript,daily,2025-07-04T09:20:39.213375
15,ldiqual,Loïs Di Qual,Play videos from Chrome to your Apple TV,https://avatars.githubusercontent.com/u/941453?s=96&v=4,https://github.com/ldiqual,chrome-airplay,javascript,daily,2025-07-04T09:20:39.213966
16,mkkellogg,Mark Kellogg,Three.js-based implementation of 3D Gaussian splatting,https://avatars.githubusercontent.com/u/6249005?s=96&v=4,https://github.com/mkkellogg,GaussianSplats3D,javascript,daily,2025-07-04T09:20:39.214563
17,lovell,Lovell Fuller,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library.",https://avatars.githubusercontent.com/u/210965?s=96&v=4,https://github.com/lovell,sharp,javascript,daily,2025-07-04T09:20:39.215138
18,kentcdodds,Kent C. Dodds,🦤 Give me MDX/TSX strings and I'll give you back a component you can render. Supports imports!,https://avatars.githubusercontent.com/u/1500684?s=96&v=4,https://github.com/kentcdodds,mdx-bundler,javascript,daily,2025-07-04T09:20:39.215727
19,iamjoel,Joel,Joel 的大唠嗑,https://avatars.githubusercontent.com/u/2120155?s=96&v=4,https://github.com/iamjoel,dialogue,javascript,daily,2025-07-04T09:20:39.216301
20,alexcasalboni,Alex Casalboni,AWS Lambda Power Tuning is an open-source tool that can help you visualize and fine-tune the memory/power configuration of Lambda functio…,https://avatars.githubusercontent.com/u/2457588?s=96&v=4,https://github.com/alexcasalboni,aws-lambda-power-tuning,javascript,daily,2025-07-04T09:20:39.216902
21,theletterf,Fabrizio Ferri-Benedetti,Test your documentation against LLM-powered user personas,https://avatars.githubusercontent.com/u/1773616?s=96&v=4,https://github.com/theletterf,impersonaid,javascript,daily,2025-07-04T09:20:39.217472
22,leonardomso,Leonardo Maldonado,📜 33 JavaScript concepts every developer should know.,https://avatars.githubusercontent.com/u/8030067?s=96&v=4,https://github.com/leonardomso,33-js-concepts,javascript,daily,2025-07-04T09:20:39.218057
23,eKoopmans,Erik Koopmans,Client-side HTML-to-PDF rendering using pure JS.,https://avatars.githubusercontent.com/u/8449639?s=96&v=4,https://github.com/eKoopmans,html2pdf.js,javascript,daily,2025-07-04T09:20:39.218664
24,egonSchiele,Aditya Bhargava,Code for the book Grokking Algorithms (https://www.amazon.com/dp/1633438538),https://avatars.githubusercontent.com/u/97219?s=96&v=4,https://github.com/egonSchiele,grokking_algorithms,javascript,daily,2025-07-04T09:20:39.219236
25,domenic,Domenic Denicola,"Converts SVGs to PNGs, using PhantomJS",https://avatars.githubusercontent.com/u/617481?s=96&v=4,https://github.com/domenic,svg2png,javascript,daily,2025-07-04T09:20:39.219816
