rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,4ian,Florian Rival,"🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone.",https://avatars.githubusercontent.com/u/1280130?s=96&v=4,https://github.com/4ian,GDevelop,javascript,monthly,2025-07-04T09:20:44.470164
2,poteto,lauren,⭐️ Companies that don't have a broken hiring process,https://avatars.githubusercontent.com/u/1390709?s=96&v=4,https://github.com/poteto,hiring-without-whiteboards,javascript,monthly,2025-07-04T09:20:44.470875
3,rvagg,Rod Vagg,"Buffer List: collect buffers and access with a standard readable Buffer interface, streamable too!",https://avatars.githubusercontent.com/u/495647?s=96&v=4,https://github.com/rvagg,bl,javascript,monthly,2025-07-04T09:20:44.471474
4,zhw2590582,Harvey Zhao,🎨 ArtPlayer.js is a modern and full featured HTML5 video player,https://avatars.githubusercontent.com/u/5907357?s=96&v=4,https://github.com/zhw2590582,ArtPlayer,javascript,monthly,2025-07-04T09:20:44.472175
5,angiejones,Angie Jones,An MCP implementation for Selenium WebDriver,https://avatars.githubusercontent.com/u/15972783?s=96&v=4,https://github.com/angiejones,mcp-selenium,javascript,monthly,2025-07-04T09:20:44.472834
6,,atomiks,"Tooltip, popover, dropdown, and menu library",https://avatars.githubusercontent.com/u/22450188?s=96&v=4,https://github.com/atomiks,tippyjs,javascript,monthly,2025-07-04T09:20:44.473480
7,hydai,hydai,那些關於 Ethereum 與 Solidity Smart Contract 的事,https://avatars.githubusercontent.com/u/2776756?s=96&v=4,https://github.com/hydai,solidity.tw,javascript,monthly,2025-07-04T09:20:44.474082
8,heyman,Jonatan Heyman,A dedicated scratchpad for developers,https://avatars.githubusercontent.com/u/54217?s=96&v=4,https://github.com/heyman,heynote,javascript,monthly,2025-07-04T09:20:44.474722
9,Defelo,Felix Bargfeldt,Run nixpkgs-review in GitHub Actions,https://avatars.githubusercontent.com/u/41747605?s=96&v=4,https://github.com/Defelo,nixpkgs-review-gha,javascript,monthly,2025-07-04T09:20:44.475292
10,Rich-Harris,Rich Harris,Straightforward project scaffolding,https://avatars.githubusercontent.com/u/1162160?s=96&v=4,https://github.com/Rich-Harris,degit,javascript,monthly,2025-07-04T09:20:44.476027
11,joshenlim,Joshen Lim,"Meme Maker for Supabase's Hackathon. Built with Supabase, Tailwind, Next.JS",https://avatars.githubusercontent.com/u/19742402?s=96&v=4,https://github.com/joshenlim,meme-maker,javascript,monthly,2025-07-04T09:20:44.476682
12,stevenjoezhang,"Shuqiao ""Mimi"" Zhang",把萌萌哒的看板娘抱回家 (ノ≧∇≦)ノ | Live2D widget for web platform,https://avatars.githubusercontent.com/u/16272760?s=96&v=4,https://github.com/stevenjoezhang,live2d-widget,javascript,monthly,2025-07-04T09:20:44.477251
13,jaywcjlove,小弟调调," Now we have become very big, Different from the original idea. Collect premium software in various categories.",https://avatars.githubusercontent.com/u/1680273?s=96&v=4,https://github.com/jaywcjlove,awesome-mac,javascript,monthly,2025-07-04T09:20:44.477866
14,bestZwei,Zwei,不要fork此仓库，去fork上游：,https://avatars.githubusercontent.com/u/110226580?s=96&v=4,https://github.com/bestZwei,LibreTV,javascript,monthly,2025-07-04T09:20:44.478435
15,abhiaiyer91,Abhi Aiyer,"Wrap your storybook environment with Apollo Client, provide mocks for isolated UI testing with GraphQL",https://avatars.githubusercontent.com/u/2359375?s=96&v=4,https://github.com/abhiaiyer91,apollo-storybook-decorator,javascript,monthly,2025-07-04T09:20:44.479029
16,,overlookmotel,,https://avatars.githubusercontent.com/u/557937?s=96&v=4,https://github.com/overlookmotel,napi-buffer-test,javascript,monthly,2025-07-04T09:20:44.479644
17,lutzroeder,Lutz Roeder,"Visualizer for neural network, deep learning and machine learning models",https://avatars.githubusercontent.com/u/438516?s=96&v=4,https://github.com/lutzroeder,netron,javascript,monthly,2025-07-04T09:20:44.480214
18,frankmcsherry,Frank McSherry,Some notes on things I find interesting and important.,https://avatars.githubusercontent.com/u/5741500?s=96&v=4,https://github.com/frankmcsherry,blog,javascript,monthly,2025-07-04T09:20:44.480859
19,Chalarangelo,Angelos Chalaris,Coding articles to level up your development skills,https://avatars.githubusercontent.com/u/8281875?s=96&v=4,https://github.com/Chalarangelo,30-seconds-of-code,javascript,monthly,2025-07-04T09:20:44.481425
20,,thinkasany,生成 deps 更新时间的 json 文件，帮助排查导致 ci 出现错误的依赖，往往是新更新的依赖可能坏了，所以用这个脚本去生成一个更新时间的降序列表。,https://avatars.githubusercontent.com/u/117748716?s=96&v=4,https://github.com/thinkasany,check-deps-update-time,javascript,monthly,2025-07-04T09:20:44.482082
