rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,Ovilia,Wenli Zhang,口红颜色可视化 - 为什么你的女神总缺一支口红,https://avatars.githubusercontent.com/u/779050?s=96&v=4,https://github.com/Ovilia,lipstick,javascript,weekly,2025-07-04T09:20:41.845291
2,saiyam1814,Saiyam Pathak,,https://avatars.githubusercontent.com/u/8190114?s=96&v=4,https://github.com/saiyam1814,Kubernetes-crash-course-2025,javascript,weekly,2025-07-04T09:20:41.846655
3,stalniy,Serhii Stotskyi,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access,https://avatars.githubusercontent.com/u/1159966?s=96&v=4,https://github.com/stalniy,casl,javascript,weekly,2025-07-04T09:20:41.847388
4,tommoor,Tom Moor,Normalize and render emoji's the way your users expect.,https://avatars.githubusercontent.com/u/380914?s=96&v=4,https://github.com/tommoor,react-emoji-render,javascript,weekly,2025-07-04T09:20:41.848196
5,4ian,Florian Rival,"🎮 Open-source, cross-platform 2D/3D/multiplayer game engine designed for everyone.",https://avatars.githubusercontent.com/u/1280130?s=96&v=4,https://github.com/4ian,GDevelop,javascript,weekly,2025-07-04T09:20:41.849475
6,,atomiks,"Tooltip, popover, dropdown, and menu library",https://avatars.githubusercontent.com/u/22450188?s=96&v=4,https://github.com/atomiks,tippyjs,javascript,weekly,2025-07-04T09:20:41.850266
7,lovell,Lovell Fuller,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library.",https://avatars.githubusercontent.com/u/210965?s=96&v=4,https://github.com/lovell,sharp,javascript,weekly,2025-07-04T09:20:41.851009
8,alexcasalboni,Alex Casalboni,AWS Lambda Power Tuning is an open-source tool that can help you visualize and fine-tune the memory/power configuration of Lambda functio…,https://avatars.githubusercontent.com/u/2457588?s=96&v=4,https://github.com/alexcasalboni,aws-lambda-power-tuning,javascript,weekly,2025-07-04T09:20:41.851752
9,rbren,Robert Brennan,"A lightweight RSS parser, for Node and the browser",https://avatars.githubusercontent.com/u/7611973?s=96&v=4,https://github.com/rbren,rss-parser,javascript,weekly,2025-07-04T09:20:41.852530
10,heyman,Jonatan Heyman,A dedicated scratchpad for developers,https://avatars.githubusercontent.com/u/54217?s=96&v=4,https://github.com/heyman,heynote,javascript,weekly,2025-07-04T09:20:41.853933
11,peduarte,Pedro Duarte,A collection of CSS effects made with Next.js.,https://avatars.githubusercontent.com/u/372831?s=96&v=4,https://github.com/peduarte,ui-snippets,javascript,weekly,2025-07-04T09:20:41.855276
12,cpsievert,Carson Sievert,R package for web-based interactive topic model visualization.,https://avatars.githubusercontent.com/u/1365941?s=96&v=4,https://github.com/cpsievert,LDAvis,javascript,weekly,2025-07-04T09:20:41.856606
