rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,MervinPraison,Mervin Praison,"PraisonAI is a production-ready Multi AI Agents framework, designed to create AI Agents to automate and solve problems ranging from simpl…",https://avatars.githubusercontent.com/u/454862?s=96&v=4,https://github.com/MervinPraison,PraisonAI,python,monthly,2025-07-04T09:20:36.608921
2,sooperset,Hyeonsoo Lee,"MCP server for Atlassian tools (Confluence, Jira)",https://avatars.githubusercontent.com/u/32061883?s=96&v=4,https://github.com/sooperset,mcp-atlassian,python,monthly,2025-07-04T09:20:36.609731
3,slavingia,Sahil Lavingia,,https://avatars.githubusercontent.com/u/74396?s=96&v=4,https://github.com/slavingia,va,python,monthly,2025-07-04T09:20:36.610424
4,cyclotruc,Romain Courtois,Replace 'hub' with 'ingest' in any github url to get a prompt-friendly extract of a codebase,https://avatars.githubusercontent.com/u/26753474?s=96&v=4,https://github.com/cyclotruc,gitingest,python,monthly,2025-07-04T09:20:36.611158
5,Shubhamsaboo,Shubham Saboo,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",https://avatars.githubusercontent.com/u/31396011?s=96&v=4,https://github.com/Shubhamsaboo,awesome-llm-apps,python,monthly,2025-07-04T09:20:36.611885
6,ShishirPatil,Shishir Patil,Gorilla: Training and Evaluating LLMs for Function Calls (Tool Calls),https://avatars.githubusercontent.com/u/30296397?s=96&v=4,https://github.com/ShishirPatil,gorilla,python,monthly,2025-07-04T09:20:36.612575
7,sdatkinson,Steven Atkinson,Neural network emulator for guitar amplifiers.,https://avatars.githubusercontent.com/u/12240186?s=96&v=4,https://github.com/sdatkinson,neural-amp-modeler,python,monthly,2025-07-04T09:20:36.613279
8,MilesCranmer,Miles Cranmer,High-Performance Symbolic Regression in Python and Julia,https://avatars.githubusercontent.com/u/7593028?s=96&v=4,https://github.com/MilesCranmer,PySR,python,monthly,2025-07-04T09:20:36.613982
9,bghira,Bagheera,A general fine-tuning kit geared toward diffusion models.,https://avatars.githubusercontent.com/u/59658056?s=96&v=4,https://github.com/bghira,SimpleTuner,python,monthly,2025-07-04T09:20:36.614732
10,,oobabooga,"LLM UI with advanced features, easy setup, and multiple backend support.",https://avatars.githubusercontent.com/u/112222186?s=96&v=4,https://github.com/oobabooga,text-generation-webui,python,monthly,2025-07-04T09:20:36.615438
11,azure-sdk,Azure SDK Bot,☕️ Azure SDK for Java API documentation repository. Content here is mostly auto-generated.,https://avatars.githubusercontent.com/u/53356347?s=96&v=4,https://github.com/azure-sdk,azure-docs-sdk-java,python,monthly,2025-07-04T09:20:36.616134
