rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,bghira,Bagheera,A general fine-tuning kit geared toward diffusion models.,https://avatars.githubusercontent.com/u/59658056?s=96&v=4,https://github.com/bghira,SimpleTuner,python,weekly,2025-07-04T09:20:33.846773
2,sdatkinson,Steven Atkinson,Neural network emulator for guitar amplifiers.,https://avatars.githubusercontent.com/u/12240186?s=96&v=4,https://github.com/sdatkinson,neural-amp-modeler,python,weekly,2025-07-04T09:20:33.847467
3,MilesCranmer,Miles Cranmer,High-Performance Symbolic Regression in Python and Julia,https://avatars.githubusercontent.com/u/7593028?s=96&v=4,https://github.com/MilesCranmer,PySR,python,weekly,2025-07-04T09:20:33.848148
4,,comfyanonymous,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",https://avatars.githubusercontent.com/u/121283862?s=96&v=4,https://github.com/comfyanonymous,ComfyUI,python,weekly,2025-07-04T09:20:33.848830
5,neubig,Graham Neubig,An example starter repo for Python projects,https://avatars.githubusercontent.com/u/398875?s=96&v=4,https://github.com/neubig,starter-repo,python,weekly,2025-07-04T09:20:33.849466
6,vikhyat,vik,tiny vision language model,https://avatars.githubusercontent.com/u/31063?s=96&v=4,https://github.com/vikhyat,moondream,python,weekly,2025-07-04T09:20:33.850120
7,klieret,Kilian Lieret,"Tips & Tricks for python, the command line, and more.",https://avatars.githubusercontent.com/u/13602468?s=96&v=4,https://github.com/klieret,everything-you-didnt-now-you-needed,python,weekly,2025-07-04T09:20:33.850778
8,Viicos,Victorien,Automatically add type hints for Django powered applications.,https://avatars.githubusercontent.com/u/65306057?s=96&v=4,https://github.com/Viicos,django-autotyping,python,weekly,2025-07-04T09:20:33.851411
9,hiyouga,Yaowei Zheng,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),https://avatars.githubusercontent.com/u/16256802?s=96&v=4,https://github.com/hiyouga,LLaMA-Factory,python,weekly,2025-07-04T09:20:33.852061
10,sooperset,Hyeonsoo Lee,"MCP server for Atlassian tools (Confluence, Jira)",https://avatars.githubusercontent.com/u/32061883?s=96&v=4,https://github.com/sooperset,mcp-atlassian,python,weekly,2025-07-04T09:20:33.852710
11,mhdzumair,Mohamed Zumair,"A high-performance proxy server for streaming media, supporting HTTP(S), HLS, and MPEG-DASH with real-time DRM decryption.",https://avatars.githubusercontent.com/u/44891939?s=96&v=4,https://github.com/mhdzumair,mediaflow-proxy,python,weekly,2025-07-04T09:20:33.853341
12,rlancemartin,Lance Martin,,https://avatars.githubusercontent.com/u/122662504?s=96&v=4,https://github.com/rlancemartin,llmstxt_architect,python,weekly,2025-07-04T09:20:33.853970
13,PiotrMachowski,Piotr Machowski,This tool/script retrieves tokens for all devices connected to Xiaomi cloud and encryption keys for BLE devices.,https://avatars.githubusercontent.com/u/6118709?s=96&v=4,https://github.com/PiotrMachowski,Xiaomi-cloud-tokens-extractor,python,weekly,2025-07-04T09:20:33.854613
14,,LmeSzinc,Azur Lane bot (CN/EN/JP/TW) 碧蓝航线脚本 | 无缝委托科研，全自动大世界,https://avatars.githubusercontent.com/u/37934724?s=96&v=4,https://github.com/LmeSzinc,AzurLaneAutoScript,python,weekly,2025-07-04T09:20:33.855254
15,evalstate,shaun smith,"Define, Prompt and Test MCP enabled Agents and Workflows",https://avatars.githubusercontent.com/u/1936278?s=96&v=4,https://github.com/evalstate,fast-agent,python,weekly,2025-07-04T09:20:33.855899
16,YaoJiayi,Jiayi Yao,,https://avatars.githubusercontent.com/u/82156730?s=96&v=4,https://github.com/YaoJiayi,CacheBlend,python,weekly,2025-07-04T09:20:33.856523
17,SamMorrowDrums,Sam Morrow,A starter MCP server in Python.,https://avatars.githubusercontent.com/u/4811358?s=96&v=4,https://github.com/SamMorrowDrums,mcp-python-starter,python,weekly,2025-07-04T09:20:33.857156
18,jlowin,Jeremiah Lowin,"🚀 The fast, Pythonic way to build MCP servers and clients",https://avatars.githubusercontent.com/u/153965?s=96&v=4,https://github.com/jlowin,fastmcp,python,weekly,2025-07-04T09:20:33.857810
19,,nagadomi,Misc; latest version of waifu2x; 2D video to stereo 3D video conversion,https://avatars.githubusercontent.com/u/287255?s=96&v=4,https://github.com/nagadomi,nunif,python,weekly,2025-07-04T09:20:33.858457
20,kant,Darío Hereñú,The GNU Health Personal Health Record (PHR),https://avatars.githubusercontent.com/u/32717?s=96&v=4,https://github.com/kant,mygnuhealth,python,weekly,2025-07-04T09:20:33.859180
21,,QIN2DIM,🥂 Gracefully face hCaptcha challenge with multimodal large language model.,https://avatars.githubusercontent.com/u/62018067?s=96&v=4,https://github.com/QIN2DIM,hcaptcha-challenger,python,weekly,2025-07-04T09:20:33.859852
22,longcw,Long Chen,LiveKit Agent integrated with MCP server of Home Assistant,https://avatars.githubusercontent.com/u/6198400?s=96&v=4,https://github.com/longcw,home-assistant-mcp-agent,python,weekly,2025-07-04T09:20:33.860476
23,bdraco,J. Nick Koston,"BLE monitor passively monitors BLE sensors (Xiaomi, Qingping, ATC, BlueMaestro, Brifit, Govee, Kegtron, Moat, Inkbird, iNode, Yeelight, R…",https://avatars.githubusercontent.com/u/663432?s=96&v=4,https://github.com/bdraco,ble_monitor,python,weekly,2025-07-04T09:20:33.861122
24,cyclotruc,Romain Courtois,Replace 'hub' with 'ingest' in any github url to get a prompt-friendly extract of a codebase,https://avatars.githubusercontent.com/u/26753474?s=96&v=4,https://github.com/cyclotruc,gitingest,python,weekly,2025-07-04T09:20:33.861786
25,lhoestq,Quentin Lhoest,Hugging Face Jobs,https://avatars.githubusercontent.com/u/42851186?s=96&v=4,https://github.com/lhoestq,hfjobs,python,weekly,2025-07-04T09:20:33.862430
