rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,LaurenzV,Laurenz Stampfl,"An experimental, work-in-progress PDF rasterizer in pure Rust.",https://avatars.githubusercontent.com/u/47084093?s=96&v=4,https://github.com/LaurenzV,hayro,rust,daily,2025-07-04T09:21:06.147726
2,mattsse,Matthias Seitz,Chrome Devtools Protocol rust API,https://avatars.githubusercontent.com/u/19890894?s=96&v=4,https://github.com/mattsse,chromiumoxide,rust,daily,2025-07-04T09:21:06.148403
3,EricLBuehler,Eric Buehler,Blazingly fast LLM inference.,https://avatars.githubusercontent.com/u/65165915?s=96&v=4,https://github.com/EricLBuehler,mistral.rs,rust,daily,2025-07-04T09:21:06.149082
4,cyphar,Aleksa Sarai,Paper backup generator suitable for long-term storage.,https://avatars.githubusercontent.com/u/2888411?s=96&v=4,https://github.com/cyphar,paperback,rust,daily,2025-07-04T09:21:06.149755
5,pronebird,Andrej Mihajlov,Rust server/Node client using ØMQ and Protobuf / example app,https://avatars.githubusercontent.com/u/704044?s=96&v=4,https://github.com/pronebird,node-rust-zeromq,rust,daily,2025-07-04T09:21:06.150398
6,Schniz,Gal Schlezinger,"🚀 Fast and simple Node.js version manager, built in Rust",https://avatars.githubusercontent.com/u/2054772?s=96&v=4,https://github.com/Schniz,fnm,rust,daily,2025-07-04T09:21:06.151052
7,LaurentMazare,Laurent Mazare,Rust bindings for the C++ api of PyTorch.,https://avatars.githubusercontent.com/u/1041292?s=96&v=4,https://github.com/LaurentMazare,tch-rs,rust,daily,2025-07-04T09:21:06.151694
8,steveklabnik,Steve Klabnik,A programming language that is a minimal subset of Rust,https://avatars.githubusercontent.com/u/27786?s=96&v=4,https://github.com/steveklabnik,rue,rust,daily,2025-07-04T09:21:06.152313
9,huonw,Huon Wilson,primal puts raw power into prime numbers.,https://avatars.githubusercontent.com/u/1203825?s=96&v=4,https://github.com/huonw,primal,rust,daily,2025-07-04T09:21:06.152958
10,,0x676e67,A blazing-fast Python HTTP Client with TLS fingerprint,https://avatars.githubusercontent.com/u/51810656?s=96&v=4,https://github.com/0x676e67,rnet,rust,daily,2025-07-04T09:21:06.153617
11,romanz,Roman Zeyde,An efficient re-implementation of Electrum Server in Rust,https://avatars.githubusercontent.com/u/9900?s=96&v=4,https://github.com/romanz,electrs,rust,daily,2025-07-04T09:21:06.154263
12,,sigoden,"All-in-one LLM CLI tool featuring Shell Assistant, Chat-REPL, RAG, AI Tools & Agents, with access to OpenAI, Claude, Gemini, Ollama, Groq…",https://avatars.githubusercontent.com/u/4012553?s=96&v=4,https://github.com/sigoden,aichat,rust,daily,2025-07-04T09:21:06.154925
13,mmastrac,Matt Mastracci,Lightweight status page for home infrastructure,https://avatars.githubusercontent.com/u/512240?s=96&v=4,https://github.com/mmastrac,stylus,rust,daily,2025-07-04T09:21:06.155585
14,RalfJung,Ralf Jung,"Execute Rust code carefully, with extra checking along the way",https://avatars.githubusercontent.com/u/330628?s=96&v=4,https://github.com/RalfJung,cargo-careful,rust,daily,2025-07-04T09:21:06.156222
15,vadorovsky,Michal Rostecki,Examples of small eBPF projects based on Aya,https://avatars.githubusercontent.com/u/34685103?s=96&v=4,https://github.com/vadorovsky,aya-examples,rust,daily,2025-07-04T09:21:06.156889
16,birkenfeld,Georg Brandl,Rust (de)serialization for the Python pickle format.,https://avatars.githubusercontent.com/u/144359?s=96&v=4,https://github.com/birkenfeld,serde-pickle,rust,daily,2025-07-04T09:21:06.157544
17,bombsimon,Simon Sawert,"A list of Garmin application, both for Garmin devices and other tools",https://avatars.githubusercontent.com/u/3248948?s=96&v=4,https://github.com/bombsimon,awesome-garmin,rust,daily,2025-07-04T09:21:06.158181
18,yuezk,Kevin Yue,"A GlobalProtect VPN client for Linux, written in Rust, based on OpenConnect and Tauri, supports SSO with MFA, Yubikey, and client certifi…",https://avatars.githubusercontent.com/u/3297602?s=96&v=4,https://github.com/yuezk,GlobalProtect-openconnect,rust,daily,2025-07-04T09:21:06.158836
19,optout21,optout,"Simple, reference implementation Cashu wallet, in Rust, with UI, based on CDK",https://avatars.githubusercontent.com/u/13562139?s=96&v=4,https://github.com/optout21,parakesh,rust,daily,2025-07-04T09:21:06.159477
20,houseme,houseme,A Rust library for Windows service management using windows-rs,https://avatars.githubusercontent.com/u/4829346?s=96&v=4,https://github.com/houseme,win-service-rs,rust,daily,2025-07-04T09:21:06.160130
21,Wilfred,Wilfred Hughes,a structural diff that understands syntax 🟥🟩,https://avatars.githubusercontent.com/u/70800?s=96&v=4,https://github.com/Wilfred,difftastic,rust,daily,2025-07-04T09:21:06.160776
22,tcoratger,Thomas Coratger,,https://avatars.githubusercontent.com/u/60488569?s=96&v=4,https://github.com/tcoratger,whir-p3,rust,daily,2025-07-04T09:21:06.161383
23,,phiresky,"rga: ripgrep, but also search in PDFs, E-Books, Office documents, zip, tar.gz, etc.",https://avatars.githubusercontent.com/u/2303841?s=96&v=4,https://github.com/phiresky,ripgrep-all,rust,daily,2025-07-04T09:21:06.162037
24,frankmcsherry,Frank McSherry,A messy e-graph implementation,https://avatars.githubusercontent.com/u/5741500?s=96&v=4,https://github.com/frankmcsherry,eggsalad,rust,daily,2025-07-04T09:21:06.162681
25,mayocream,Mayo Takanashi,"Automated manga translation tool with LLM, written in Rust.",https://avatars.githubusercontent.com/u/35420264?s=96&v=4,https://github.com/mayocream,koharu,rust,daily,2025-07-04T09:21:06.163301
