rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,emilk,Emil Ernerfeldt,egui: an easy-to-use immediate mode GUI in Rust that runs on both web and native,https://avatars.githubusercontent.com/u/1148717?s=96&v=4,https://github.com/emilk,egui,rust,monthly,2025-07-04T09:21:12.715968
2,EricLBuehler,Eric Buehler,Blazingly fast LLM inference.,https://avatars.githubusercontent.com/u/65165915?s=96&v=4,https://github.com/EricLBuehler,mistral.rs,rust,monthly,2025-07-04T09:21:12.716676
3,,Myriad-Dreamin,Tinymist [ˈtaɪni mɪst] is an integrated language service for Typst [taɪpst].,https://avatars.githubusercontent.com/u/35292584?s=96&v=4,https://github.com/Myriad-Dreamin,tinymist,rust,monthly,2025-07-04T09:21:12.717337
4,,sigoden,"All-in-one LLM CLI tool featuring Shell Assistant, Chat-REPL, RAG, AI Tools & Agents, with access to OpenAI, Claude, Gemini, Ollama, Groq…",https://avatars.githubusercontent.com/u/4012553?s=96&v=4,https://github.com/sigoden,aichat,rust,monthly,2025-07-04T09:21:12.718004
5,aome510,Thang Pham,A Spotify player in the terminal with full feature parity,https://avatars.githubusercontent.com/u/40011582?s=96&v=4,https://github.com/aome510,spotify-player,rust,monthly,2025-07-04T09:21:12.718655
6,sxyazi,三咲雅 misaki masa,"💥 Blazing fast terminal file manager written in Rust, based on async I/O.",https://avatars.githubusercontent.com/u/17523360?s=96&v=4,https://github.com/sxyazi,yazi,rust,monthly,2025-07-04T09:21:12.719291
7,ClementTsang,Clement Tsang,Yet another cross-platform graphical process/system monitor.,https://avatars.githubusercontent.com/u/34804052?s=96&v=4,https://github.com/ClementTsang,bottom,rust,monthly,2025-07-04T09:21:12.719948
8,Darksonn,Alice Ryhl,Example of using actors in Rust.,https://avatars.githubusercontent.com/u/928074?s=96&v=4,https://github.com/Darksonn,telnet-chat,rust,monthly,2025-07-04T09:21:12.720594
9,Narsil,Nicolas Patry,"Simple library to listen and send events to keyboard and mouse (MacOS, Windows, Linux)",https://avatars.githubusercontent.com/u/204321?s=96&v=4,https://github.com/Narsil,rdev,rust,monthly,2025-07-04T09:21:12.721221
10,flaneur2020,flaneur,a dialect of The Monkey Programming Language,https://avatars.githubusercontent.com/u/129800?s=96&v=4,https://github.com/flaneur2020,pua-lang,rust,monthly,2025-07-04T09:21:12.721862
11,sorairolake,Shun Sakai,An utility for encoding or decoding QR code,https://avatars.githubusercontent.com/u/48999343?s=96&v=4,https://github.com/sorairolake,qrtool,rust,monthly,2025-07-04T09:21:12.722489
12,mxsm,mxsm,"🚀Apache RocketMQ build in Rust🦀. Faster, safer, and with lower memory usage.",https://avatars.githubusercontent.com/u/15797831?s=96&v=4,https://github.com/mxsm,rocketmq-rust,rust,monthly,2025-07-04T09:21:12.723129
13,LaurentMazare,Laurent Mazare,Rust bindings for the C++ api of PyTorch.,https://avatars.githubusercontent.com/u/1041292?s=96&v=4,https://github.com/LaurentMazare,tch-rs,rust,monthly,2025-07-04T09:21:12.723771
14,joshka,Josh McKinney,A collection of useful widgets for building terminal user interfaces using Ratatui,https://avatars.githubusercontent.com/u/381361?s=96&v=4,https://github.com/joshka,tui-widgets,rust,monthly,2025-07-04T09:21:12.724399
15,Kobzol,Jakub Beránek,Cargo subcommand for configuring Cargo projects for best performance.,https://avatars.githubusercontent.com/u/4539057?s=96&v=4,https://github.com/Kobzol,cargo-wizard,rust,monthly,2025-07-04T09:21:12.725042
16,,0x676e67,A blazing-fast Python HTTP Client with TLS fingerprint,https://avatars.githubusercontent.com/u/51810656?s=96&v=4,https://github.com/0x676e67,rnet,rust,monthly,2025-07-04T09:21:12.725696
17,bombsimon,Simon Sawert,"A list of Garmin application, both for Garmin devices and other tools",https://avatars.githubusercontent.com/u/3248948?s=96&v=4,https://github.com/bombsimon,awesome-garmin,rust,monthly,2025-07-04T09:21:12.726312
18,untitaker,Markus Unterwaditzer,Very fast link checker for CI.,https://avatars.githubusercontent.com/u/837573?s=96&v=4,https://github.com/untitaker,hyperlink,rust,monthly,2025-07-04T09:21:12.726960
19,cb7chaitanya,Chaitanya Bajpai,,https://avatars.githubusercontent.com/u/114876060?s=96&v=4,https://github.com/cb7chaitanya,exchange,rust,monthly,2025-07-04T09:21:12.727585
20,PThorpe92,Preston Thorpe,"HTTP client/libcurl TUI front end in Rust, with request + key storage",https://avatars.githubusercontent.com/u/121899304?s=96&v=4,https://github.com/PThorpe92,CuTE,rust,monthly,2025-07-04T09:21:12.728211
21,YangKeao,YangKeao,A quantile regression library in rust,https://avatars.githubusercontent.com/u/5244316?s=96&v=4,https://github.com/YangKeao,langbardo,rust,monthly,2025-07-04T09:21:12.728850
22,utam0k,Toru Komatsu,Toy C compiler,https://avatars.githubusercontent.com/u/13010913?s=96&v=4,https://github.com/utam0k,r9cc,rust,monthly,2025-07-04T09:21:12.729473
23,Nukesor,Arne  Christian Beer,🌠 Manage your shell commands.,https://avatars.githubusercontent.com/u/3322822?s=96&v=4,https://github.com/Nukesor,pueue,rust,monthly,2025-07-04T09:21:12.730118
24,davidpdrsn,David Pedersen,A Rust implementation of the Realworld demo app spec using Axum and SQLx.,https://avatars.githubusercontent.com/u/718941?s=96&v=4,https://github.com/davidpdrsn,realworld-axum-sqlx,rust,monthly,2025-07-04T09:21:12.730763
25,mizchi,Kotaro Chikuba,,https://avatars.githubusercontent.com/u/73962?s=96&v=4,https://github.com/mizchi,similarity,rust,monthly,2025-07-04T09:21:12.731357
