rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,sadmann7,Sadman Sakib,"A collection of composable, unstyled UI primitives for building accessible web applications.",https://avatars.githubusercontent.com/u/68962712?s=96&v=4,https://github.com/sadmann7,diceui,typescript,daily,2025-07-04T09:20:47.063259
2,DonJayamanne,Don Jayamanne,"Run JavaScript and TypeScript in node.js within VS Code notebooks with excellent support for debugging, tensorflowjs visulizations, plotl…",https://avatars.githubusercontent.com/u/1948812?s=96&v=4,https://github.com/DonJayamanne,typescript-notebook,typescript,daily,2025-07-04T09:20:47.064051
3,sam-goodwin,sam,Orchestrate the Cloud with pure TypeScript,https://avatars.githubusercontent.com/u/38672686?s=96&v=4,https://github.com/sam-goodwin,alchemy,typescript,daily,2025-07-04T09:20:47.064779
4,tadasant,Tadas Antanavicius,"MCP Server integrating MCP Clients with Stability AI-powered image manipulation functionalities: generate, edit, upscale, and more.",https://avatars.githubusercontent.com/u/3900899?s=96&v=4,https://github.com/tadasant,mcp-server-stability-ai,typescript,daily,2025-07-04T09:20:47.065441
5,pk910,pk910,"Modularized faucet for EVM chains with different protection methods (Captcha, Mining, IP, Mainnet Balance, Gitcoin Passport and more)",https://avatars.githubusercontent.com/u/491045?s=96&v=4,https://github.com/pk910,PoWFaucet,typescript,daily,2025-07-04T09:20:47.066135
6,hyochan,Hyo,In App Purchase module in Expo,https://avatars.githubusercontent.com/u/27461460?s=96&v=4,https://github.com/hyochan,expo-iap,typescript,daily,2025-07-04T09:20:47.066929
7,dsherret,David Sherret,TypeScript Compiler API wrapper for static analysis and programmatic code changes.,https://avatars.githubusercontent.com/u/1609021?s=96&v=4,https://github.com/dsherret,ts-morph,typescript,daily,2025-07-04T09:20:47.067683
8,twada,Takuto Wada,Power Assert in JavaScript - Provides descriptive assertion messages through standard assert interface. No API is the best API.,https://avatars.githubusercontent.com/u/19881?s=96&v=4,https://github.com/twada,power-assert-monorepo,typescript,daily,2025-07-04T09:20:47.068380
9,jakebailey,Jake Bailey,A simple Node.js task runner,https://avatars.githubusercontent.com/u/5341706?s=96&v=4,https://github.com/jakebailey,hereby,typescript,daily,2025-07-04T09:20:47.069062
10,lostintangent,Jonathan Carter,"📓 An MCP server for managing your personal knowledge, daily notes, and re-usable prompts via GitHub Gists",https://avatars.githubusercontent.com/u/116461?s=96&v=4,https://github.com/lostintangent,gistpad-mcp,typescript,daily,2025-07-04T09:20:47.069734
