rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,Kitenite,Kiet,An interactive visualization of your life in weeks. Inspired by Tim Urban's Your Life in Weeks (Wait But Why) and Buster Benson's Life in…,https://avatars.githubusercontent.com/u/31864905?s=96&v=4,https://github.com/Kitenite,weeksofyourlife,typescript,monthly,2025-07-04T09:20:54.015329
2,ilyhalight,Toil,"Небольшое расширение, которое добавляет закадровый перевод видео из YaBrowser в другие браузеры",https://avatars.githubusercontent.com/u/62353659?s=96&v=4,https://github.com/ilyhalight,voice-over-translation,typescript,monthly,2025-07-04T09:20:54.016090
3,dsherret,David Sherret,TypeScript Compiler API wrapper for static analysis and programmatic code changes.,https://avatars.githubusercontent.com/u/1609021?s=96&v=4,https://github.com/dsherret,ts-morph,typescript,monthly,2025-07-04T09:20:54.016786
4,ivov,Iván Ovejero,Desktop app and CLI utility for auto-generating n8n nodes,https://avatars.githubusercontent.com/u/44588767?s=96&v=4,https://github.com/ivov,nodemaker,typescript,monthly,2025-07-04T09:20:54.017596
5,rsxdalv,Roberts Slisans,"A single Gradio + React WebUI with extensions for ACE-Step, Kimi Audio, Piper TTS, GPT-SoVITS, CosyVoice, XTTSv2, DIA, Kokoro, OpenVoice,…",https://avatars.githubusercontent.com/u/6757283?s=96&v=4,https://github.com/rsxdalv,TTS-WebUI,typescript,monthly,2025-07-04T09:20:54.018873
6,geelen,Glen Maddern,,https://avatars.githubusercontent.com/u/23264?s=96&v=4,https://github.com/geelen,mcp-remote,typescript,monthly,2025-07-04T09:20:54.020173
7,felixrieseberg,Felix Rieseberg,"📎 Clippy, now with some AI",https://avatars.githubusercontent.com/u/1426799?s=96&v=4,https://github.com/felixrieseberg,clippy,typescript,monthly,2025-07-04T09:20:54.021241
8,AykutSarac,Aykut Saraç,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into …",https://avatars.githubusercontent.com/u/47941171?s=96&v=4,https://github.com/AykutSarac,jsoncrack.com,typescript,monthly,2025-07-04T09:20:54.022055
9,ayangweb,ayangweb,🐱 跨平台桌宠 BongoCat，为桌面增添乐趣！,https://avatars.githubusercontent.com/u/75017711?s=96&v=4,https://github.com/ayangweb,BongoCat,typescript,monthly,2025-07-04T09:20:54.022982
10,hustcc,hustcc,⛳️ Apache ECharts components for React wrapper. 一个简单的 Apache echarts 的 React 封装。,https://avatars.githubusercontent.com/u/7856674?s=96&v=4,https://github.com/hustcc,echarts-for-react,typescript,monthly,2025-07-04T09:20:54.023791
11,ruifigueira,Rui Figueira,Playwright for chrome extensions,https://avatars.githubusercontent.com/u/1374559?s=96&v=4,https://github.com/ruifigueira,playwright-crx,typescript,monthly,2025-07-04T09:20:54.024493
12,sam-goodwin,sam,Orchestrate the Cloud with pure TypeScript,https://avatars.githubusercontent.com/u/38672686?s=96&v=4,https://github.com/sam-goodwin,alchemy,typescript,monthly,2025-07-04T09:20:54.025315
13,sadmann7,Sadman Sakib,"A collection of composable, unstyled UI primitives for building accessible web applications.",https://avatars.githubusercontent.com/u/68962712?s=96&v=4,https://github.com/sadmann7,diceui,typescript,monthly,2025-07-04T09:20:54.026381
14,,redphx,Userscript to improve Xbox Cloud Gaming (xCloud) and Remote Play experiences on web browsers,https://avatars.githubusercontent.com/u/96280?s=96&v=4,https://github.com/redphx,better-xcloud,typescript,monthly,2025-07-04T09:20:54.027219
15,nperez0111,Nick Perez,Y.js sync server for instantly portaling your documents to another machine.,https://avatars.githubusercontent.com/u/1852538?s=96&v=4,https://github.com/nperez0111,teleportal,typescript,monthly,2025-07-04T09:20:54.028063
16,mishushakov,Mish Ushakov,Turn any webpage into structured data using LLMs,https://avatars.githubusercontent.com/u/10400064?s=96&v=4,https://github.com/mishushakov,llm-scraper,typescript,monthly,2025-07-04T09:20:54.029040
17,valentinpalkovic,Valentin Palkovic,A generator for Prisma 2 to generate a valid JSON Schema (v7),https://avatars.githubusercontent.com/u/5889929?s=96&v=4,https://github.com/valentinpalkovic,prisma-json-schema-generator,typescript,monthly,2025-07-04T09:20:54.029965
18,corymhall,Cory Hall,GitHub action to post CDK diff to PR comments,https://avatars.githubusercontent.com/u/43035978?s=96&v=4,https://github.com/corymhall,cdk-diff-action,typescript,monthly,2025-07-04T09:20:54.030826
19,ponderingdemocritus,Loaf,,https://avatars.githubusercontent.com/u/90423308?s=96&v=4,https://github.com/ponderingdemocritus,agent-infra,typescript,monthly,2025-07-04T09:20:54.031481
20,nfcampos,Nuno Campos,,https://avatars.githubusercontent.com/u/56902?s=96&v=4,https://github.com/nfcampos,automerge-repo,typescript,monthly,2025-07-04T09:20:54.032414
21,Nutlope,Hassan El Mghari,LinkedIn -> personal site generator,https://avatars.githubusercontent.com/u/63742054?s=96&v=4,https://github.com/Nutlope,self.so,typescript,monthly,2025-07-04T09:20:54.033411
22,xhofe,Andy Hsu,"⭐ Generate svg of contributors, multiple repos supported, powered by Next.js",https://avatars.githubusercontent.com/u/36558727?s=96&v=4,https://github.com/xhofe,gh-contributors,typescript,monthly,2025-07-04T09:20:54.034098
23,twlite,Twilight,A powerful TensorFlow.js-based collaborative filtering recommendation system,https://avatars.githubusercontent.com/u/46562212?s=96&v=4,https://github.com/twlite,recommendtf,typescript,monthly,2025-07-04T09:20:54.034810
24,bcherny,Boris Cherny,Compile JSON Schema to TypeScript type declarations,https://avatars.githubusercontent.com/u/1761758?s=96&v=4,https://github.com/bcherny,json-schema-to-typescript,typescript,monthly,2025-07-04T09:20:54.035460
