rank,username,name,repo_description,avatar_url,profile_url,popular_repo,language,time_period,scraped_at
1,mishushakov,Mish Ushakov,Turn any webpage into structured data using LLMs,https://avatars.githubusercontent.com/u/10400064?s=96&v=4,https://github.com/mishushakov,llm-scraper,typescript,weekly,2025-07-04T09:20:50.472030
2,sadmann7,Sadman Sakib,"A collection of composable, unstyled UI primitives for building accessible web applications.",https://avatars.githubusercontent.com/u/68962712?s=96&v=4,https://github.com/sadmann7,diceui,typescript,weekly,2025-07-04T09:20:50.472663
3,dsherret,David Sherret,TypeScript Compiler API wrapper for static analysis and programmatic code changes.,https://avatars.githubusercontent.com/u/1609021?s=96&v=4,https://github.com/dsherret,ts-morph,typescript,weekly,2025-07-04T09:20:50.473238
4,tadasant,Tadas Antanavicius,"MCP Server integrating MCP Clients with Stability AI-powered image manipulation functionalities: generate, edit, upscale, and more.",https://avatars.githubusercontent.com/u/3900899?s=96&v=4,https://github.com/tadasant,mcp-server-stability-ai,typescript,weekly,2025-07-04T09:20:50.473826
5,AykutSarac,Aykut Saraç,"✨ Innovative and open-source visualization application that transforms various data formats, such as JSON, YAML, XML, CSV and more, into …",https://avatars.githubusercontent.com/u/47941171?s=96&v=4,https://github.com/AykutSarac,jsoncrack.com,typescript,weekly,2025-07-04T09:20:50.474394
6,dexhorthy,Dex,,https://avatars.githubusercontent.com/u/3730605?s=96&v=4,https://github.com/dexhorthy,multiclaude,typescript,weekly,2025-07-04T09:20:50.474958
7,Jas-SinghFSU,Jas Singh,A Bar/Panel for Hyprland with extensive customizability.,https://avatars.githubusercontent.com/u/21210205?s=96&v=4,https://github.com/Jas-SinghFSU,HyprPanel,typescript,weekly,2025-07-04T09:20:50.475527
8,bolinfest,Michael Bolin,Attempt to get TextMate grammars working in standalone Monaco,https://avatars.githubusercontent.com/u/655869?s=96&v=4,https://github.com/bolinfest,monaco-tm,typescript,weekly,2025-07-04T09:20:50.476098
9,DonJayamanne,Don Jayamanne,This extension is now maintained in the Microsoft fork.,https://avatars.githubusercontent.com/u/1948812?s=96&v=4,https://github.com/DonJayamanne,pythonVSCode,typescript,weekly,2025-07-04T09:20:50.476679
10,,DetachHead,"pyright fork with various type checking improvements, improved vscode support and pylance features built into the language server",https://avatars.githubusercontent.com/u/57028336?s=96&v=4,https://github.com/DetachHead,basedpyright,typescript,weekly,2025-07-04T09:20:50.477254
11,hustcc,hustcc,⛳️ Apache ECharts components for React wrapper. 一个简单的 Apache echarts 的 React 封装。,https://avatars.githubusercontent.com/u/7856674?s=96&v=4,https://github.com/hustcc,echarts-for-react,typescript,weekly,2025-07-04T09:20:50.477833
